"annotation_id","annotator","created_at","id","lead_time","ner","text","updated_at"
1,"1","2025-01-26T18:05:05.754370Z",740,3239.558,"[{""start"":0,""end"":2,""text"":""हम"",""labels"":[""PROPN""]},{""start"":3,""end"":7,""text"":""डरते"",""labels"":[""VERB""]},{""start"":8,""end"":12,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":13,""end"":15,""text"":""है"",""labels"":[""VERB""]},{""start"":15,""end"":16,""text"":"","",""labels"":[""X""]},{""start"":17,""end"":19,""text"":""15"",""labels"":[""NUM""]},{""start"":20,""end"":23,""text"":""साल"",""labels"":[""NOUN""]},{""start"":24,""end"":26,""text"":""की"",""labels"":[""ADP""]},{""start"":27,""end"":32,""text"":""सरकार"",""labels"":[""NOUN""]},{""start"":33,""end"":35,""text"":""15"",""labels"":[""NUM""]},{""start"":36,""end"":41,""text"":""सीटों"",""labels"":[""NOUN""]},{""start"":42,""end"":44,""text"":""पर"",""labels"":[""ADP""]},{""start"":45,""end"":49,""text"":""सिमट"",""labels"":[""VERB""]},{""start"":50,""end"":52,""text"":""गई"",""labels"":[""VERB""]},{""start"":54,""end"":57,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":58,""end"":60,""text"":""पर"",""labels"":[""ADP""]},{""start"":61,""end"":65,""text"":""बरसे"",""labels"":[""VERB""]},{""start"":66,""end"":68,""text"":""CM"",""labels"":[""PROPN""]},{""start"":84,""end"":85,""text"":""|"",""labels"":[""X""]},{""start"":86,""end"":98,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":69,""end"":76,""text"":""Bhupesh"",""labels"":[""PROPN""]},{""start"":77,""end"":83,""text"":""Baghel"",""labels"":[""PROPN""]}]","हम डरते नहीं है, 15 साल की सरकार 15 सीटों पर सिमट गई' BJP पर बरसे CM Bhupesh Baghel | Chhattisgarh","2025-01-26T18:05:56.750206Z"
2,"1","2025-01-27T05:44:04.080498Z",741,538.029,"[{""start"":0,""end"":3,""text"":""EVM"",""labels"":[""NOUN""]},{""start"":4,""end"":6,""text"":""पर"",""labels"":[""ADP""]},{""start"":7,""end"":10,""text"":""कोई"",""labels"":[""PRON""]},{""start"":11,""end"":13,""text"":""भी"",""labels"":[""ADV""]},{""start"":14,""end"":17,""text"":""बटन"",""labels"":[""NOUN""]},{""start"":18,""end"":23,""text"":""दबाइए"",""labels"":[""VERB""]},{""start"":23,""end"":24,""text"":"","",""labels"":[""X""]},{""start"":25,""end"":28,""text"":""वोट"",""labels"":[""NOUN""]},{""start"":29,""end"":32,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":33,""end"":35,""text"":""को"",""labels"":[""ADP""]},{""start"":36,""end"":38,""text"":""ही"",""labels"":[""PART""]},{""start"":39,""end"":44,""text"":""जाएगा"",""labels"":[""VERB""]},{""start"":44,""end"":45,""text"":""’"",""labels"":[""X""]},{""start"":45,""end"":46,""text"":""-"",""labels"":[""X""]},{""start"":47,""end"":51,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":52,""end"":54,""text"":""के"",""labels"":[""ADP""]},{""start"":55,""end"":61,""text"":""सांसद "",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":""ने"",""labels"":[""PART""]},{""start"":64,""end"":67,""text"":""खोल"",""labels"":[""VERB""]},{""start"":68,""end"":70,""text"":""दी"",""labels"":[""VERB""]},{""start"":71,""end"":74,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":75,""end"":77,""text"":""की"",""labels"":[""ADP""]},{""start"":78,""end"":81,""text"":""पोल"",""labels"":[""NOUN""]},{""start"":82,""end"":83,""text"":""|"",""labels"":[""X""]},{""start"":84,""end"":85,""text"":""D"",""labels"":[""PRON""]},{""start"":86,""end"":92,""text"":""Arvind"",""labels"":[""PRON""]}]","EVM पर कोई भी बटन दबाइए, वोट BJP को ही जाएगा’- Modi के सांसद ने खोल दी BJP की पोल | D Arvind","2025-01-27T05:44:04.080559Z"
3,"1","2025-01-27T05:53:49.380340Z",742,581.726,"[{""start"":0,""end"":3,""text"":""मैं"",""labels"":[""PRON""]},{""start"":4,""end"":6,""text"":""ना"",""labels"":[""PART_NEG""]},{""start"":7,""end"":11,""text"":""मरने"",""labels"":[""VERB""]},{""start"":12,""end"":15,""text"":""से "",""labels"":[""ADP""]},{""start"":15,""end"":19,""text"":""डरता"",""labels"":[""VERB""]},{""start"":20,""end"":22,""text"":""ना"",""labels"":[""PART_NEG""]},{""start"":23,""end"":26,""text"":""जेल"",""labels"":[""NOUN""]},{""start"":27,""end"":31,""text"":""जाने"",""labels"":[""VERB""]},{""start"":34,""end"":35,""text"":""'"",""labels"":[""X""]},{""start"":32,""end"":34,""text"":""से"",""labels"":[""ADP""]},{""start"":36,""end"":39,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":40,""end"":42,""text"":""पर"",""labels"":[""ADP""]},{""start"":43,""end"":48,""text"":""भड़के"",""labels"":[""VERB""]},{""start"":49,""end"":51,""text"":""CM"",""labels"":[""PROPN""]},{""start"":52,""end"":59,""text"":""Bhupesh"",""labels"":[""PROPN""]},{""start"":60,""end"":66,""text"":""Baghel"",""labels"":[""PROPN""]},{""start"":67,""end"":68,""text"":""|"",""labels"":[""X""]},{""start"":69,""end"":81,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":82,""end"":83,""text"":""|"",""labels"":[""X""]},{""start"":90,""end"":91,""text"":""|"",""labels"":[""X""]},{""start"":84,""end"":89,""text"":""ED-IT"",""labels"":[""PROPN""]},{""start"":92,""end"":94,""text"":""PM"",""labels"":[""PROPN""]},{""start"":95,""end"":99,""text"":""Modi"",""labels"":[""PROPN""]}]","मैं ना मरने से डरता ना जेल जाने से' BJP पर भड़के CM Bhupesh Baghel | Chhattisgarh | ED-IT | PM Modi","2025-01-27T05:53:49.380377Z"
4,"1","2025-01-27T05:58:12.771521Z",743,259.863,"[{""start"":0,""end"":4,""text"":""मुझे"",""labels"":[""PRON""]},{""start"":5,""end"":7,""text"":""ये"",""labels"":[""DET""]},{""start"":8,""end"":13,""text"":""बताते"",""labels"":[""VERB""]},{""start"":14,""end"":17,""text"":""हुए"",""labels"":[""PART""]},{""start"":18,""end"":22,""text"":""खुशी"",""labels"":[""NOUN""]},{""start"":23,""end"":25,""text"":""हो"",""labels"":[""VERB""]},{""start"":26,""end"":29,""text"":""रही"",""labels"":[""VERB""]},{""start"":30,""end"":32,""text"":""है"",""labels"":[""VERB""]},{""start"":33,""end"":35,""text"":""कि"",""labels"":[""CONJ""]},{""start"":35,""end"":36,""text"":""'"",""labels"":[""X""]},{""start"":36,""end"":39,""text"":""..."",""labels"":[""X""]},{""start"":39,""end"":40,""text"":""|"",""labels"":[""X""]},{""start"":41,""end"":46,""text"":""Sonia"",""labels"":[""PROPN""]},{""start"":47,""end"":53,""text"":""Gandhi"",""labels"":[""PROPN""]},{""start"":54,""end"":56,""text"":""जी"",""labels"":[""PROPN""]},{""start"":57,""end"":59,""text"":""ने"",""labels"":[""ADP""]},{""start"":60,""end"":64,""text"":""लिखी"",""labels"":[""VERB""]},{""start"":65,""end"":69,""text"":""ISRO"",""labels"":[""PROPN""]},{""start"":70,""end"":72,""text"":""को"",""labels"":[""ADP""]},{""start"":73,""end"":79,""text"":""चिट्ठी"",""labels"":[""NOUN""]},{""start"":80,""end"":81,""text"":""|"",""labels"":[""X""]},{""start"":82,""end"":93,""text"":""Chandrayaan"",""labels"":[""PROPN""]},{""start"":94,""end"":95,""text"":""3"",""labels"":[""NUM""]}]","मुझे ये बताते हुए खुशी हो रही है कि'...| Sonia Gandhi जी ने लिखी ISRO को चिट्ठी | Chandrayaan 3","2025-01-27T05:58:12.771563Z"
5,"1","2025-01-27T06:02:01.746220Z",744,222.087,"[{""start"":0,""end"":11,""text"":""Mallikarjun"",""labels"":[""PROPN""]},{""start"":12,""end"":18,""text"":""Kharge"",""labels"":[""PROPN""]},{""start"":22,""end"":25,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":54,""end"":57,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":82,""end"":88,""text"":""Madhya"",""labels"":[""PROPN""]},{""start"":89,""end"":96,""text"":""Pradesh"",""labels"":[""PROPN""]},{""start"":44,""end"":47,""text"":""खोल"",""labels"":[""VERB""]},{""start"":48,""end"":52,""text"":""दिया"",""labels"":[""VERB""]},{""start"":52,""end"":53,""text"":""।"",""labels"":[""X""]},{""start"":58,""end"":64,""text"":""नेताओं"",""labels"":[""NOUN""]},{""start"":65,""end"":68,""text"":""में"",""labels"":[""ADP""]},{""start"":69,""end"":71,""text"":""मच"",""labels"":[""VERB""]},{""start"":72,""end"":74,""text"":""गई"",""labels"":[""VERB""]},{""start"":75,""end"":80,""text"":""भगदड़"",""labels"":[""NOUN""]},{""start"":80,""end"":81,""text"":""।"",""labels"":[""X""]},{""start"":29,""end"":32,""text"":""झूठ"",""labels"":[""NOUN""]},{""start"":26,""end"":28,""text"":""के"",""labels"":[""ADP""]},{""start"":33,""end"":35,""text"":""का"",""labels"":[""ADP""]},{""start"":36,""end"":43,""text"":""पुलिंदा"",""labels"":[""NOUN""]},{""start"":19,""end"":21,""text"":""ने"",""labels"":[""ADP""]}]","Mallikarjun Kharge ने BJP के झूठ का पुलिंदा खोल दिया। BJP नेताओं में मच गई भगदड़। Madhya Pradesh","2025-01-27T06:02:01.746260Z"
6,"1","2025-01-27T06:04:39.516574Z",745,150.561,"[{""start"":0,""end"":6,""text"":""गुजरात"",""labels"":[""PROPN""]},{""start"":46,""end"":54,""text"":""Kanhaiya"",""labels"":[""PROPN""]},{""start"":55,""end"":60,""text"":""Kumar"",""labels"":[""PROPN""]},{""start"":69,""end"":72,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":61,""end"":63,""text"":""ने"",""labels"":[""ADP""]},{""start"":73,""end"":75,""text"":""की"",""labels"":[""ADP""]},{""start"":32,""end"":34,""text"":""को"",""labels"":[""ADP""]},{""start"":40,""end"":43,""text"":""करो"",""labels"":[""VERB""]},{""start"":43,""end"":44,""text"":""'"",""labels"":[""X""]},{""start"":44,""end"":45,""text"":""-"",""labels"":[""X""]},{""start"":7,""end"":9,""text"":""से"",""labels"":[""ADP""]},{""start"":10,""end"":13,""text"":""आया"",""labels"":[""VERB""]},{""start"":35,""end"":39,""text"":""सलाम"",""labels"":[""NOUN""]},{""start"":76,""end"":79,""text"":""पोल"",""labels"":[""NOUN""]},{""start"":64,""end"":68,""text"":""खोली"",""labels"":[""VERB""]},{""start"":14,""end"":19,""text"":""मेरा "",""labels"":[""PRON""]},{""start"":19,""end"":24,""text"":""दोस्त"",""labels"":[""NOUN""]},{""start"":26,""end"":31,""text"":""दोस्त"",""labels"":[""NOUN""]},{""start"":24,""end"":25,""text"":"","",""labels"":[""X""]}]","गुजरात से आया मेरा दोस्त, दोस्त को सलाम करो'- Kanhaiya Kumar ने खोली BJP की पोल","2025-01-27T06:04:39.516619Z"
7,"1","2025-01-27T06:07:24.569254Z",746,160.01,"[{""start"":0,""end"":5,""text"":""Rahul"",""labels"":[""PROPN""]},{""start"":6,""end"":12,""text"":""Gandhi"",""labels"":[""PROPN""]},{""start"":15,""end"":21,""text"":""Bharat"",""labels"":[""PROPN""]},{""start"":22,""end"":26,""text"":""Jodo"",""labels"":[""PROPN""]},{""start"":27,""end"":32,""text"":""Yatra"",""labels"":[""PROPN""]},{""start"":33,""end"":34,""text"":""|"",""labels"":[""X""]},{""start"":13,""end"":14,""text"":""|"",""labels"":[""X""]},{""start"":67,""end"":68,""text"":""|"",""labels"":[""X""]},{""start"":47,""end"":48,""text"":""|"",""labels"":[""X""]},{""start"":35,""end"":40,""text"":""राहुल"",""labels"":[""PROPN""]},{""start"":41,""end"":46,""text"":""गांधी"",""labels"":[""PROPN""]},{""start"":49,""end"":53,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":54,""end"":59,""text"":""जोड़ो"",""labels"":[""PROPN""]},{""start"":60,""end"":66,""text"":""यात्रा"",""labels"":[""PROPN""]},{""start"":69,""end"":75,""text"":""Singer"",""labels"":[""NOUN""]},{""start"":76,""end"":82,""text"":""Shabab"",""labels"":[""PROPN""]},{""start"":83,""end"":88,""text"":""Sabri"",""labels"":[""PROPN""]}]","Rahul Gandhi | Bharat Jodo Yatra | राहुल गांधी | भारत जोड़ो यात्रा | Singer Shabab Sabri","2025-01-27T06:07:24.569290Z"
8,"1","2025-01-27T06:15:08.297339Z",747,457.701,"[{""start"":0,""end"":11,""text"":""Chandrayaan"",""labels"":[""PROPN""]},{""start"":12,""end"":13,""text"":""3"",""labels"":[""NUM""]},{""start"":14,""end"":16,""text"":""की"",""labels"":[""ADP""]},{""start"":63,""end"":67,""text"":""ISRO"",""labels"":[""PROPN""]},{""start"":70,""end"":81,""text"":""Mallikarjun"",""labels"":[""PROPN""]},{""start"":82,""end"":88,""text"":""Kharge"",""labels"":[""PROPN""]},{""start"":61,""end"":62,""text"":""|"",""labels"":[""X""]},{""start"":17,""end"":22,""text"":""सफलता"",""labels"":[""NOUN""]},{""start"":46,""end"":50,""text"":""गर्व"",""labels"":[""NOUN""]},{""start"":54,""end"":57,""text"":""बात"",""labels"":[""NOUN""]},{""start"":58,""end"":60,""text"":""है"",""labels"":[""VERB""]},{""start"":23,""end"":31,""text"":""प्रत्येक"",""labels"":[""DET""]},{""start"":32,""end"":38,""text"":""भारतीय"",""labels"":[""ADJ""]},{""start"":39,""end"":41,""text"":""के"",""labels"":[""ADP""]},{""start"":42,""end"":45,""text"":""लिए"",""labels"":[""ADP""]},{""start"":51,""end"":53,""text"":""की"",""labels"":[""ADP""]},{""start"":68,""end"":69,""text"":""|"",""labels"":[""X""]}]","Chandrayaan 3 की सफलता प्रत्येक भारतीय के लिए गर्व की बात है | ISRO | Mallikarjun Kharge","2025-01-27T06:15:08.297379Z"
9,"1","2025-01-27T07:36:14.795622Z",748,185.80200000000002,"[{""start"":0,""end"":4,""text"":""ISRO"",""labels"":[""PROPN""]},{""start"":20,""end"":28,""text"":""Congress"",""labels"":[""PROPN""]},{""start"":46,""end"":57,""text"":""Chandrayaan"",""labels"":[""PROPN""]},{""start"":58,""end"":59,""text"":""3"",""labels"":[""NUM""]},{""start"":60,""end"":61,""text"":""|"",""labels"":[""X""]},{""start"":75,""end"":76,""text"":""|"",""labels"":[""X""]},{""start"":77,""end"":86,""text"":""चन्द्रयान"",""labels"":[""PROPN""]},{""start"":87,""end"":88,""text"":""3"",""labels"":[""NUM""]},{""start"":62,""end"":66,""text"":""Moon"",""labels"":[""PROPN""]},{""start"":35,""end"":39,""text"":""में "",""labels"":[""ADP""]},{""start"":39,""end"":43,""text"":""जश्न"",""labels"":[""NOUN""]},{""start"":44,""end"":45,""text"":""|"",""labels"":[""X""]},{""start"":29,""end"":34,""text"":""दफ्तर"",""labels"":[""NOUN""]},{""start"":5,""end"":7,""text"":""ने"",""labels"":[""ADP""]},{""start"":8,""end"":11,""text"":""रचा"",""labels"":[""VERB""]},{""start"":18,""end"":19,""text"":"","",""labels"":[""X""]},{""start"":12,""end"":18,""text"":""इतिहास"",""labels"":[""NOUN""]},{""start"":67,""end"":74,""text"":""Landing"",""labels"":[""PROPN""]}]","ISRO ने रचा इतिहास, Congress दफ्तर में जश्न | Chandrayaan 3 | Moon Landing | चन्द्रयान 3","2025-01-27T07:36:14.795648Z"
10,"1","2025-01-27T07:39:22.738549Z",749,186.174,"[{""start"":0,""end"":15,""text"":""Congratulations"",""labels"":[""NOUN""]},{""start"":16,""end"":18,""text"":""to"",""labels"":[""ADP""]},{""start"":24,""end"":28,""text"":""ISRO"",""labels"":[""PROPN""]},{""start"":71,""end"":82,""text"":""Chandrayaan"",""labels"":[""PROPN""]},{""start"":83,""end"":84,""text"":""3"",""labels"":[""NUM""]},{""start"":85,""end"":86,""text"":""|"",""labels"":[""X""]},{""start"":87,""end"":93,""text"":""Jairam"",""labels"":[""PROPN""]},{""start"":94,""end"":100,""text"":""Ramesh"",""labels"":[""PROPN""]},{""start"":19,""end"":23,""text"":""Team"",""labels"":[""NOUN""]},{""start"":29,""end"":30,""text"":""|"",""labels"":[""X""]},{""start"":31,""end"":33,""text"":""ये"",""labels"":[""PRON""]},{""start"":34,""end"":41,""text"":""उपलब्धि"",""labels"":[""NOUN""]},{""start"":42,""end"":46,""text"":""वाकई"",""labels"":[""ADV""]},{""start"":54,""end"":56,""text"":""है"",""labels"":[""VERB""]},{""start"":47,""end"":53,""text"":""शानदार"",""labels"":[""ADJ""]},{""start"":56,""end"":57,""text"":"","",""labels"":[""X""]},{""start"":58,""end"":65,""text"":""बेमिसाल"",""labels"":[""ADJ""]},{""start"":66,""end"":68,""text"":""है"",""labels"":[""VERB""]},{""start"":69,""end"":70,""text"":""|"",""labels"":[""X""]}]","Congratulations to Team ISRO | ये उपलब्धि वाकई शानदार है, बेमिसाल है | Chandrayaan-3 | Jairam Ramesh","2025-01-27T07:39:22.738577Z"
